x,y,z,cluster,tt
1700,5.835,0.91,Griffith,a
1710,6.013,0.91,Griffith,a
1720,6.048,0.91,Griffith,a
1730,6.008,0.91,Griffith,a
1740,6.013,0.91,Griffith,a
1750,6.253,0.91,Griffith,a
1760,6.665,0.91,Griffith,a
1770,7.124,0.91,Griffith,a
1780,7.581,0.91,Griffith,a
1790,8.216,0.91,Griffith,a
1800,9.168,0.91,Griffith,a
1811,10.164,0.91,Griffith,a
1821,12,0.91,Griffith,a
1831,13.896,0.91,Griffith,a
1841,15.914,0.91,Griffith,a
1851,17.928,0.91,Griffith,a
1861,20.066,0.91,Griffith,a
1871,22.712,0.91,Griffith,a
1881,25.974,0.91,Griffith,a
1891,29.003,0.91,Griffith,a
1901,32.612,0.91,Griffith,a
1911,36.136,0.91,Griffith,a
1921,37.932,0.91,Griffith,a
1931,39.988,0.91,Griffith,a
1941,41.748,0.91,Griffith,a
1951,43.815,0.91,Griffith,a
1961,46.196,0.91,Griffith,a
1971,49.152,0.91,Griffith,a
1981,49.634,0.91,Griffith,a
1991,51.099,0.91,Griffith,a
2001,52.085,0.91,Griffith,a
